artist_id,name,popularity,followers,genres,img_url
1CIQKMq8233RjSs4VMk0a9,Atajo,28,4356,"['andean', 'bolivian rock']",https://i.scdn.co/image/f9a1ab380e03ac9042821ace7d12177f7596cafd
7gs6RrJmRq75GL9PYwCX0L,Grupo Maroyu,1,4348,['cumbia boliviana'],
1kqcnt8DXUkuuRnawXGS38,Avionica,26,4233,"['bolivian rock', 'indie boliviano']",https://i.scdn.co/image/9eff4eaf9f32624e0ba5288d56deada4a5d5d2bb
45MEz7t5DAOmX0o8fFKA3B,Sukay,27,3971,['andean'],https://i.scdn.co/image/ab67616d0000b2731a118d85662aaded21354b82
3U5KZkwiSmACysZTJIvjgU,Grupo Veneno,48,3695,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b2737c536a916d4ec2c0666b723d
6Y2Lacqni5uPW6SROD6Jlx,Rumillajta,29,3507,['andean'],https://i.scdn.co/image/ab67616d0000b27326b870551902e77ee1712ef0
4P6BbGD4vPfePNs4iPKVcF,Zulma Yugar,30,3453,['andean'],https://i.scdn.co/image/ab67616d0000b27346aff8fb6f05292a26a335b9
79EmqrbbIDDUQzleucbi1Z,David Castro y America,33,3413,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273eeabd21f21b6dc06de016237
7y0ZJqOnXqbNN1gReruGDi,Cumbia de la Cruz,30,3384,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b27389acc9e7cc4581e51af1f8f6
27aGmZfITo7aGbSFrHwRcE,Electroshock,27,3240,"['bolivian rock', 'indie boliviano']",https://i.scdn.co/image/0d7abfe77e8c4304c6205b591c20915ef99eee69
5UAJ2sTvAOJe7fC3y28Gtm,Pacha,27,2948,"['andean', 'folklore boliviano']",https://i.scdn.co/image/ab67616d0000b273ceb259b15fc6f9b21325f84d
1m25tt7dfl7f5YMReYb94Q,Grupo Bandy2,40,2888,['folclore jujeno'],https://i.scdn.co/image/ab67616d0000b27349112f419de3ae91e327d555
4Ndmj2D1NcPFkJG4hqBPhO,Willy Claure,31,2875,['andean'],https://i.scdn.co/image/76e5fb0aadff7c8a2c78e130a8bf5af594b69cb6
6gTTDix3FA5TyyW4iEx9aR,Ángel Bedrillana,28,2807,"['huayno', 'musica ayacuchana']",https://i.scdn.co/image/ab67616d0000b273409dbc1077b5e02782e1460d
2wcQ9ygMF236f1YkkrlT2D,Alcoholika La Christo,26,2731,"['bolivian metal', 'bolivian rock']",https://i.scdn.co/image/8f171e8a28bc5925b95bf6893dd3b57aaeae1394
2y5BDiTXFsZuY5QTLXCtDn,SUMAYA ANDINA,30,2717,"['folklore boliviano', 'salay']",https://i.scdn.co/image/1705bf1344173efc43277aab372908470189577f
7k6ftK7tgl0a0c2aNKrRD1,Mammut,0,2625,['bolivian rock'],https://i.scdn.co/image/0b68ec59a144ede654a154f1ae8fb0426f14021d
2aswi6sCAE8yRG9LFVKpJi,Código Fher,29,2602,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273b97c4ee215d3d51715d52c25
5ywH7cLUGzjUHRxK0ymaqZ,Las Voces De Gerardo Lopez,13,2592,['folklore argentino'],https://i.scdn.co/image/ab67616d0000b273f562a34a5a7be91d261007c4
6MXHMKs1wfM2POzcZLKz0k,Esther Marisol,32,2561,['andean'],https://i.scdn.co/image/ab67616d0000b2731a4998d1bcf733cc0404c1ec
15iMciFRFPNbdWYOTCnF6j,Orquesta Internacional Guachambe,35,2555,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273a2867fe27ea1b440980c8e75
45KlD9kfCouyPINcMgPfdQ,Deszaire,28,2501,['bolivian rock'],https://i.scdn.co/image/85829258f312b3576c8cad99f6c17123e74063f9
6CuRf4fFjJk2HXNeXygoeD,Enriqueta Ulloa,30,2204,['andean'],https://i.scdn.co/image/ab67616d0000b27329cd320bd49a046ca2390a12
4DJ8AcSZKLky2Nckx8pTWV,Mc J Rap,32,2153,[],https://i.scdn.co/image/0884cbcd60a46bf5e414d7612d4448cffdb16549
0VuXmDxRO9dprPumahA54F,Vero Pérez & Jorge Villanueva,25,2152,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b2737b6ea9a8d5e457dc7e730d06
1ztGrQE8wrNwgewKy9JcTG,Animal de Ciudad,19,2081,['bolivian rock'],https://i.scdn.co/image/edace4456ce369fb9efc4b5114bc482056833850
1nqk2fIHKCbcUFAYoyNodA,Grillo Villegas,13,2032,"['bolivian rock', 'indie boliviano']",https://i.scdn.co/image/ab67616d0000b27321b8c636013b43c27bcdae73
7sX8xqtBldHbgRz56Ymnus,Yuri Ortuño & La Nueva Proyección,13,2016,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b2736a8e7be2e46aeb537dd99282
3MmfFvTHPmIqVYxy1QQmTg,Juan Enrique Jurado,30,2005,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b273d717b4e1ae4a4041721dedd3
7jSblm9AFyntbL2366fotr,Así D’ Ron,0,1915,[],
0KIcdsgZ0AzjMHO7kWlT7v,Inkas de Oro,6,1862,['andean'],https://i.scdn.co/image/ab67616d0000b2739f1cbc15182b225765f12637
5rWAewvYBngzuOdXeznVhl,Horizontes,25,1804,"['andean', 'folklore boliviano']",https://i.scdn.co/image/ab67616d0000b2738a1504fe81982eb49147c6e8
05uYzJFsZl7jm3bb5ePszJ,Miguel Orías,31,1800,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273858c217b3edaa6e5bd4da849
7brQxl56LuqwAZPoLXBD31,Ozono Bolivia,0,1791,['folklore boliviano'],https://i.scdn.co/image/358e5db5c33fa6412546d1a878e085cf0af2be2c
1YKJToMncgtzNmlLyCfoRD,Dúo Sentimiento,27,1787,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b27339cf645a614bc9ebdaeadee8
4WU8VtPw3NbZz66e8eGCzY,Escuela Nacional de Saya del Perú,24,1780,['folklore peruano'],https://i.scdn.co/image/ab67616d0000b273dd81f3eb2da5bbb241c04801
1WmjCGZ8XqKv6yKvMwP5sL,Prana Reggae,20,1779,['bolivian rock'],https://i.scdn.co/image/a94510937b9076a868e1f5a72eff1143272caa98
7jbCSOX82mkj4BGiIY1IeI,Los Jairas,29,1751,['andean'],https://i.scdn.co/image/ab67616d0000b273dd396dac48587b0712faf596
1C6RdNDq2lP6PcBkPjeHBR,Mayra Gonzales,18,1680,['bolivian rock'],https://i.scdn.co/image/fa59f4f347fbcd3fbf861c60779a61856dbb6b24
3fGmv8qkimufzbPZfY2QyQ,Marcy La Melodia,27,1673,[],https://i.scdn.co/image/ab67616d0000b273c37e8ab30256710152e028bf
1bCReWtNr9XkS0fQ3XbmpZ,Grupo Iberia de Bolivia,2,1643,['cumbia boliviana'],
1qZjSbyAmV7wcvUxxt8LYN,Acustica,34,1613,['salay'],https://i.scdn.co/image/ab67616d0000b2733773dab1a0432c06dfa98763
6YDhLSe2wxJufEYSLj3UyP,Pasión Andina,28,1596,['folklore boliviano'],https://i.scdn.co/image/971ff852378942aa1b76de13385f30d646dba0ef
6ONZhCBqGaqvMWk3P1Y137,Los Linces de Bolivia,29,1564,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273969891f263b27968e2274ed1
3t8mzc4McRkE2bbnrQi3cV,Lou-Kass,24,1535,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b2739505a06e82c83cce3238f357
2AS8xan4YWnSOZKj7UaVtk,Fiesta Cuetillo,23,1535,['bolivian rock'],https://i.scdn.co/image/83389295386d3d06abe0081b9ec1b9e05afe7c2c
